Case Number,Time,Date,Year,Type,Country,Fatal,Injury,Area,Location,Activity,Name,Victim's Gender,Age,Species,Predicted Gender
2011.06.06.b,Unknown,06-Jun-2011,2011.0,Unprovoked,USA,N,"No injury, minor damage to wetsuit",California,"La Jolla, San Diego County",Spearfishing,Justin Schlaefli,,28.0,"Sevengill shark, 6' to 8'",Male
2011.06.06.a,Afternoon,06-Jun-2011,2011.0,Unprovoked,USA,N,Puncture wound to calf,Florida,"New Smyrna Beach, Volusia County",Wading,Alan McIntosh,,19.0,3' to 4' shark,Male
2011.06.01,Unknown,01-Jun-2011,2011.0,Unprovoked,MALAYSIA,N,Laceration to dorsum of right foot,Kedah,Palau Payar,Snorkeling,Canadian teen,,24.0,Blacktip reef shark,
2011.05.30,Afternoon,30-May-2011,2011.0,Unprovoked,USA,N,Lacerations & punctures to right thigh,Texas,"Follett's Island, Brazoria County",Standing or boogie boardin,Kori Robertson,,22.0,Unknown,Female
2011.05.29,Unknown,29-May-2011,2011.0,Unprovoked,SOUTH AFRICA,N,"No injury, board bumped by shark",Western Cape Province,Robberg Beach,Surfing,Clinton Nelson,,33.0,White shark,Male
2011.05.25,Afternoon,25-May-2011,2011.0,Unprovoked,USA,N,"No injury, board bitten",Hawaii,"Lyman Beach, Kailua-Kona",Surfing,Theresa Fernandez,,24.0,"Tiger shark, 10'",Female
2011.05.22,Afternoon,22-May-2011,2011.0,Unprovoked,USA,N,"No injury, board bitten",Hawaii,"Lyman Beach, Kailua-Kona",Paddle boarding,Alaina DeBina,,24.0,Tiger shark,Female
2011.05.21.b,Unknown,21-May-2011,2011.0,Unprovoked,SOUTH AFRICA,Y,"Thigh bitten, FATAL",KwaZulu-Natal,Levan Point,Spearfishing,Warren Smart,,28.0,Zambesi shark,Male
2011.05.13.b,Afternoon,13-May-2011,2011.0,Unprovoked,USA,N,Lacerations to left foot & ankle,Florida,"Ponte Vedra Beach, St Johns County",Body surfing,Bob Brown,,86.0,Unknown,Male
2011.05.21.a,Morning,21-May-2011,2011.0,Unprovoked,NEW CALEDONIA,Y,"Thigh bitten, FATAL",North Province,Kendec,Kite Boarding,Nathan ____,,15.0,"Tiger shark, 2.8m",Male
2011.05.13.a,Morning,13-May-2011,2011.0,Unprovoked,USA,N,Minor injury; puncture wounds to calf,Florida,"Ormond Beach, Volusia County",Surfing,Adrian Bronson,,37.0,Unknown,Male
2011.05.10,Unknown,10-May-2011,2011.0,Provoked,USA,N,Laceration to arm by captive shark PROVOKED INCIDENT,Florida,Miami,Fishing,Brian Storch,,24.0,"Sandbar shark, 8'",Male
2011.05.07.R,Unknown,Reported 07-May-2011,2011.0,Invalid,UNITED ARAB EMIRATES (UAE),Unknown,"Erroneously reported on several internet sites as a ""shark attack"", it was the shark 8', 300-kg mako shark that was attacked, not the fisherman",Umm al Qaywayan Province,Khor Fakkan,Fishing,Mustafa Al Hammadi,,43.0,Invalid,Male
2011.05.04,Unknown,04-May-2011,2011.0,Unprovoked,SOUTH AFRICA,N,Calf bitten,KwaZulu-Natal,Palm Beach,Spearfishing,Trevor Burger,,37.0,Unknown,Male
2011.04.26,Unknown,26-Apr-2011,2011.0,Unprovoked,USA,N,Calf bitten,Florida,"Riviera Beach, Palm Beach County",Spearfishing,Anthony Segrich,,32.0,"Bull shark, 12'",Male
2011.04.23,Afternoon,23-Apr-2011,2011.0,Unprovoked,AUSTRALIA,N,Heel bitten,Western Australia,Red Bluffs,Washing sand off a speared fish,Marcus van der Vyver,,17.0,"reef shark, 1.5m",Male
2011.04.22,Afternoon,22-Apr-2011,2011.0,Unprovoked,USA,N,Minor puncture wounds,Florida,"New Smyrna Beach, Volusia County",Surfing,Ronald White,,49.0,1' to 2' shark,Male
2011.04.16,Afternoon,16-Apr-2011,2011.0,Unprovoked,NEW ZEALAND,N,Puncture to left hand,South Island,Snapper Point,Surfing,Laine Hobson,,41.0,possibly a bronze whaler shark,Female
2011.04.12,Morning,13-Apr-2011,2011.0,Unprovoked,INDONESIA,N,Lacerations to forearm,Bali,Balian,Surfing,Joe Ferrar,,24.0,"Bull shark, 2.5 m",Male
2011.04.08,Afternoon,08-Apr-2011,2011.0,Unprovoked,FIJI,N,Minor injuries to left leg and hand,Vitu Levu,"Malake Island, Ra Province",Diving,Etuate Caucau,,27.0,Unknown,
2011.03.29.R,Unknown,Reported 29-Mar-2011,2011.0,Provoked,USA,N,Minor laceration to shoulder from captive shark PROVOKED INCIDENT,Texas,Matagorda Beach,"Standing, holding shark pup",Orlando,,24.0,Blacktip shark pup,Male
2011.03.24,Unknown,24-Mar-2011,2011.0,Unprovoked,MEXICO,N,Lower leg & foot bitten,Quintana Roo,"Gaviotas Beach, Cancun",Swimming,Liuba Taran,,24.0,Bull shark,Female
2011.03.23,Afternoon,23-Mar-2011,2011.0,Unprovoked,AUSTRALIA,N,Severe injury to left forearm,New South Wales,Crowdy Head,Surfing,David Pearson,,48.0,"Bull shark, 2.5m",Male
2011.03.16,Afternoon,16-Mar-2011,2011.0,Unprovoked,AUSTRALIA,N,"Severe injuries to head, neck, shoulder & upper left arm",New South Wales,"Jimmys Beach, Port Stephens",Wakeboarding,Lisa Mondy,,24.0,3 m to 4 m shark,Female
2011.03.10,Unknown,10-Mar-2011,2011.0,Unprovoked,AUSTRALIA,N,"No injury, surboard broken",New South Wales,"Tallow Beach, Byron Bay",Surfing,Prem Puri,,24.0,Unknown,Female
2011.02.28.R,Morning,Reported 28-Feb-2011,2011.0,Provoked,AUSTRALIA,N,Lacerations to right hand by hooked shark PROVOKED INCIDENT,Queensland,Between,Fishing,Shane Nyari,,36.0,"Bull shark, 2m",Male
2011.02.23,Afternoon,23-Feb-2011,2011.0,Unprovoked,NEW CALEDONIA,N,Lacerations to left forearm,Loyalty Islands,"Bay of Bweedro, Ouvéa",Spearfishing,Jean-Luc Majele,,21.0,1.5 m shark,Male
2011.02.19,Evening,18-Feb-2011,2011.0,Unprovoked,REUNION,N,Left leg severed at the knee,Saint Gilles,Trois-Roches,Surfing,Eric Dargent,,32.0,Unknown,Male
2011.02.17,Evening,17-Feb-2011,2011.0,Unprovoked,AUSTRALIA,Y,FATAL,South Australia,Off Perforated Island near Coffin Bay,Diving for abalone,Peter Clarkson,,49.0,White shark x 2,Male
2011.02.13,Morning,13-Feb-2011,2011.0,Provoked,AUSTRALIA,N,Lacerations to calf by hooked shark PROVOKED INCIDENT,Queensland,Sunshine Beach,Fishing,male,,24.0,1 m shark,Male
2011.02.12,Afternoon,12-Feb-2011,2011.0,Unprovoked,AUSTRALIA,N,Arm bitten,Western Australia,Exmouth,Snorkeling,Allen ___,,58.0,Unknown,Male
2011.02.04.R,Unknown,Reported 04-Feb-2011,2011.0,Provoked,MEXICO,N,Left foot bitten PROVOKED INCIDENT,Colima,"Manzanillo, Revillagigedo Islands",Shark fishing on the Ricardo Astorga,Porfirio Lugo Camacho,,24.0,Unknown,Male
2011.02.02,Unknown,02-Feb-2011,2011.0,Unprovoked,SOUTH AFRICA,N,Right leg bitten,Eastern Cape Province,"Sundays River Mouth, Port Elizabeth",Surf fishing,Johannes Jonk,,37.0,Unknown,Male
2011.01.31,Afternoon,31-Jan-2011,2011.0,Unprovoked,MEXICO,N,"Leg, forearm & hand severely bitten",Quintana Roo,Cancun,Swimming,Nicole Moore,,38.0,6' shark,Female
2011.01.28,Unknown,28-Jan-2011,2011.0,Provoked,MEXICO,N,Left eg bitten PROVOKED INCIDENT,Colima,Revillagigedo Islands,Shark fishing on the Don Agustín-VI.,C. Pedro Luis Beltrán Camargo,,25.0,Unknown,
2011.01.26,Afternoon,26-Jan-2011,2011.0,Unprovoked,BAHAMAS,N,Arm bitten,West End,Tiger Beach,Scuba diving,Jim Abernethy,,55.0,Caribbean reef shark,Male
2011.01.20,Afternoon,20-Jan-2011,2011.0,Invalid,AUSTRALIA,Unknown,Lacerations to both legs,New South Wales,Cudgen Creek,Swimming,Mia Merlini,,7.0,Shark involvement not confirmed,Female
2011.01.15,Afternoon,15-Jan-2011,2011.0,Unprovoked,SOUTH AFRICA,Y,FATAL,Eastern Cape Province,"Second Beach, Port St. John's",Surfing,Zama Ndamase,,16.0,Unknown,
2011.01.12.R,Unknown,Reported 12-Jan 2011,2011.0,Unprovoked,MEXICO,N,Bitten on leg and groin,Quintana Roo,Xcalak,Attempting to fix motor,Juan Miguel Infante Ramírez,,37.0,Unknown,Male
2011.01.03,Afternoon,03-Jan-2011,2011.0,Boat,AUSTRALIA,N,"No injury, shark nudged boat and bit propeller",Western Australia,Busselton,Fishing,"A 'tinnie"". Occupants :Paul Sweeny, Paul Nieuwkerdk, John and Mark Kik",,24.0,White shark,
2010.12.26,Afternoon,26-Dec-2010,2010.0,Unprovoked,USA,N,"Lacerations to his lower left leg, calf, foot & ankle",Hawaii,"Kahului, Maui",Body boarding,Vaun Stover-French,,16.0,6' shark,
2010.12.17,Unknown,17-Dec-2010,2010.0,Unprovoked,FIJI,N,Lacerations to foot,Vitu Levu,Sigatoka,Surfing,Jordi Gracia,,24.0,Unknown,Male
2010.12.11,Afternoon,11-Dec-2010,2010.0,Unprovoked,USA,N,Lacerations to right foot,Hawaii,"Tavares Bay, Maui",Surfing,Andrew Wilson,,46.0,Unknown,Male
2010.12.05,Afternoon,05-Dec-2010,2010.0,Unprovoked,EGYPT,Y,FATAL,South Sinai Peninsula,"Middle Garden, Sharm el-Shiekh",Snorkeling,Renate Seiffert,,70.0,"Oceanic whitetip shark, 2.5m",Female
2010.12.03.R,Unknown,Reported 03-Dec-2010,2010.0,Unprovoked,INDONESIA,N,Lacerations to right hand,Bali,Balian,Surfing,Wei Ong,,24.0,Unknown,
2010.12.01.b,Morning,01-Dec-2010,2010.0,Unprovoked,EGYPT,N,Both arms severely bitten,South Sinai Peninsula,"Ras Nasrani, Sharm el-Sheikh",Snorkeling,Yevgeniy (Eugene) Trishkin,,54.0,Mako shark,Male
2010.12.01.a,Morning,01-Dec-2010,2010.0,Unprovoked,EGYPT,N,Lacerations to right leg,South Sinai Peninsula,"Ras Nasrani, Sharm el-Sheikh",Snorkeling,Viktor Koliy,,46.0,Mako shark,Male
2010.11.30.b,Afternoon,30-Nov-2010,2010.0,Unprovoked,EGYPT,N,"Foot severed, Right forearm severed, lacerations to left hand (defense wounds)",South Sinai Peninsula,"Coral Bay, Sharm el-Sheikh",Snorkeling,Lyudmila Stolyarova,,70.0,"Oceanic whitetip shark, 2.5m, female",Female
2010.11.30.a,Afternoon,30-Nov-2010,2010.0,Unprovoked,EGYPT,N,Foot and arm bitten,South Sinai Peninsula,"Coral Bay, Sharm el-Sheikh",Snorkeling,Olga Martsinko,,48.0,"Oceanic whitetip shark, 2.5m, female",Female
2010.11.27,Unknown,27-Nov-2010,2010.0,Invalid,AUSTRALIA,Unknown,Death may have been due to drowning,Western Australia,Native Dog Beach,Swimming,Michael Utley,,24.0,Shark involvement not confirmed,Male
2010.11.14,Unknown,14-Nov-2010,2010.0,Unprovoked,INDONESIA,N,Hand bitten,Bali,Balian,Surfing,male,,24.0,Unknown,Male
2010.11.12.R,Evening,Reported 12-Nov-2010,2010.0,Boat,AUSTRALIA,N,No injury to occupant. Shark rammed bottom of the boat,Western Australia,Between Carnac and Garden Islands,Fishing,4-m runabout. Occupant: Allen Gade,,24.0,White shark,
2010.10.30,Afternoon,30-Oct-2010,2010.0,Unprovoked,AUSTRALIA,N,Torso and left buttock bitten,Western Australia,Off Garden Island,Snorkeling,Elyse Frankcom,,20.0,White shark,Female
2010.10.28.R,Unknown,Reported 28-Oct-2010,2010.0,Unprovoked,AUSTRALIA,N,"No injury, shark head-butted diver's thigh",Western Australia,Cheynes Beach,Spearfishing,Deacon Plant,,24.0,Unknown,
2010.10.28,Afternoon,28-Oct-2010,2010.0,Unprovoked,USA,N,No injury to surfer,Oregon,Florence,Surfing,Seth Mead,,24.0,Unknown,Male
2010.10.23.b,Afternoon,23-Oct-2010,2010.0,Unprovoked,USA,N,"No injury to diver, shark bit his video camera",Maine,"Burnt Cove near Eastport, Washington County",Scuba diving,Scott MacNichol,,30.0,"Porbeagle shark, 8'",Male
2010.10.23.a,Unknown,23-Oct-2010,2010.0,Unprovoked,AUSTRALIA,N,Lacerations to lower right leg,Western Australia,Wedge Island,Kite Surfing,Liam Walker,,14.0,Unknown,Male
2010.10.22,Morning,22-Oct-2010,2010.0,Unprovoked,USA,Y,FATAL,California,"Surf Beach, Vandenberg AFB, Santa Barbara County",Body boarding,Lucas Ransom,,19.0,"White shark, 14' to 18'",Male
2010.10.20,Unknown,20-Oct-2010,2010.0,Unprovoked,EGYPT,N,Multiple lacerations to left leg and foot,South Sinai Peninsula,Sharm el-Sheikh,Snorkeling,Elena Rubanovich.,,24.0,Unknown,Female
2010.10.09,Afternoon,09-Oct-2010,2010.0,Unprovoked,AUSTRALIA,N,Foot bitten,New South Wales,Mullaway Headland,Surfing,Ken Turk,,22.0,"Bull shark, 1.4m",Male
2010.10.02.a,Afternoon,02-Oct-2010,2010.0,Unprovoked,BAHAMAS,N,Bitten between left ankle & knee,Abaco Islands,Elbow Cay,Surfing,Jane Engle,,24.0,Possibly a 6' lemon shark,Female
2010.10.01,Afternoon,01-Oct-2010,2010.0,Unprovoked,SOUTH AFRICA,N,3 lacerations to foot,Western Cape Province,"Melkbaai, Strand",Surfing,male,,14.0,Unknown,Male
2010.09.27,Afternoon,27-Sep-2010,2010.0,Unprovoked,USA,N,"No injury, surfboard rammed",Oregon,Winchester Bay,Surfing,David Lowden,,29.0,White shark,Male
2010.09.24,Afternoon,24-Sep-2010,2010.0,Unprovoked,USA,N,Bite to left ankle and knee,Virginia,Sandridge Beach,Surfing,Caleb Kauchak,,18.0,Unknown,Male
2010.09.21,Unknown,21-Sep-2010,2010.0,Unprovoked,SOUTH AFRICA,Y,FATAL,Western Cape Province,Between Dyer Island and Pearly Beach,Swimming,Khanyisile Momoza,,29.0,White shark,
2010.09.13,Afternoon,13-Sep-2010,2010.0,Unprovoked,AUSTRALIA,N,Lacerations and puncture wounds to leg and foot,New South Wales,Fraser's Reef,Surfing,Jake Davis,,15.0,2m shark,Male
2010.09.07,Unknown,07-Sep-2010,2010.0,Unprovoked,USA,N,Lacerations to left wrist,Florida,"St. Augustine, St. John's County",Swimming,Jason Whitworth,,27.0,3' shark,Male
2010.09.04,Unknown,04-Sep-2010,2010.0,Unprovoked,USA,N,"No injury, shark charged surfboard",Florida,"New Smyrna Beach, Volusia County",Surfing,Kris Kerr,,24.0,Unknown,Male
2010.09.03.b,Afternoon,03-Sep-2010,2010.0,Unprovoked,USA,N,Lacerations to right hand,Florida,"New Smyrna Beach, Volusia County",Surfing,Jason Coffman,,24.0,Unknown,Male
2010.09.03.a,Morning,03-Sep-2010,2010.0,Unprovoked,USA,N,Left thigh bitten,Florida,"New Smyrna Beach, Volusia County",Surfing,Andrew Heald,,24.0,Unknown,Male
2010.08.29,Unknown,29-Aug-2010,2010.0,Invalid,BAHAMAS,Unknown,"His partial remains were recovered from a 12' tiger shark on September 5, 2010. Cause of death was thought to be drowning",Exuma Islands,"Off Jaws Beach, New Providence Island",Swimming after boat became disabled,Judson Newton,,43.0,Shark involvement prior to death was not confirmed,Male
2010.08.18,Morning,18-Aug-2010,2010.0,Unprovoked,USA,N,Minor injuries to foot,Florida,Crescent Beach St. Johns County,Boogie Boarding,Seth Shorten,,10.0,Unknown,Male
2010.08.17,Morning,17-Aug-2010,2010.0,Unprovoked,AUSTRALIA,Y,FATAL,Western Australia,Cowaramup Bay,Surfing,Nicholas Edwards,,31.0,White shark,Male
2010.08.14,Unknown,14-Aug-2010,2010.0,Boating,USA,N,"No injury, kayak bitten",California,"Pigeon Point, San Mateo County",Kayak Fishing,Adam Coca,,45.0,White shark,Male
2010.08.10.b,Evening,10-Aug-2010,2010.0,Provoked,AUSTRALIA,N,Leg bitten by hooked shark PROVOKED INCIDENT,Queensland,"Three Mile Creek, Townsville",Fishing,female,,24.0,Unknown,Female
2010.08.10,Afternoon,10-Aug-2010,2010.0,Unprovoked,SOUTH KOREA,N,Lacerations to left lower leg,Jeju Province,Jeju Island,Swimming,Jaylee Pierce,,16.0,Unknown,
2010.08.08,Morning,08-Aug-2010,2010.0,Unprovoked,AUSTRALIA,N,Left foot bitten,New South Wales,Crescent Head,Surfing,Rick Carroll,,47.0,Unknown,Male
2010.08.07.b,Afternoon,07-Aug-2010,2010.0,Unprovoked,USA,N,Left foot bitten,North Carolina,"Figure Eight Island, Wilmington, New Hanover County",Surfing,Josh Clement,,25.0,Unknown,Male
2010.08.05,Evening,05-Aug-2010,2010.0,Invalid,USA,Unknown,Minor abrasions to legs when she was lifted on the back of a large marine animal,Florida,"Bethune Beach, Volusia County",Swimming,Judy Fischman,,24.0,Shark involvement not confirmed,Female
2010.08.02.b,Afternoon,02-Aug-2010,2010.0,Boating,USA,N,"No injury, kayak bitten",California,"Near oil rig Hondo, 5 nm from Gaviota, Santa Barbara County",Kayaking,Duane Strosaker,,24.0,"White shark, 15'",Male
2010.08.02.a,Morning,02-Aug-2010,2010.0,Unprovoked,USA,N,Lacerations to forearm,Florida,"Micklers Landing, St. Johns County",Standing,Kimberly Presser,,37.0,3' to 4' shark,Female
2010.07.25,Unknown,25-Jul-2010,2010.0,Unprovoked,USA,N,Lacerations to right lower leg,South Carolina,"Isle of Palms, Charleston County",Standing,Alex Stamm,,16.0,4' shark,Male
2010.07.23,Afternoon,23-Jul-2010,2010.0,Unprovoked,USA,N,Left foot bitten,Florida,"Jacksonville Beach, Duval County",Surfing,Clayton Schulz,,20.0,Unknown,Male
2010.07.19,Morning,19-Jul-2010,2010.0,Unprovoked,USA,N,Minor lacerations to left calf,South Carolina,Myrtle Beach,Swimming,Josh Myers,,10.0,Possibly a small blacktip shark,Male
2010.07.17.b,Afternoon,17-Jul-2010,2010.0,Unprovoked,USA,N,Lacerations to right forearm,North Carolina,"Wrightsville Beach, New Hanover County",Swimming,Kendall Parker,,13.0,"Sandtiger shark, 4' to 5'",
2010.07.17.a,Unknown,17-Jul-2010,2010.0,Unprovoked,USA,N,Minor lacerations to right foot,Florida,New Smyrna Beach,Surfing,Jimmy Johnston,,55.0,A small spinner shark,Male
2010.07.16.b,Evening,16-Jul-2010,2010.0,Provoked,SPAIN,N,Lacerations to left foot when he stepped on the shark PROVOKED INCIDENT,Grand Canary Island,"Sardina del Norte, Gáldar",Swimming,male,,9.0,Angel shark,Male
2010.07.16.a,Unknown,16-Jul-2010,2010.0,Unprovoked,USA,N,Leg bitten,Texas,Galveston,Fishing,Charlie Gauzer,,24.0,Unknown,Male
2010.07.11,Unknown,11-Jul-2010,2010.0,Provoked,USA,N,Small laceration to forearm from netted shark PROVOKED INCIDENT,Florida,"Lauderdale-by-the-Sea, Broward County",Fishing,male,,24.0,"Nurse shark, juvenile",Male
2010.07.04,Unknown,04-Jul-2010,2010.0,Unprovoked,SOUTH AFRICA,N,Left leg bitten,KwaZulu-Natal,"Two Mile Reef, Sodwana Bay",Snorkeling,Sarah Haiden,,21.0,Unknown,Female
2010.07.03,Afternoon,03-Jul-2010,2010.0,Provoked,USA,N,Laceration to right bicep by hooked shark PROVOKED INCIDENT,New York,Off Long Island,Fishing,Frank Joseph,,20.0,"Blue shark, 7'",Male
2010.07.02.b,Evening,02-Jul-2010,2010.0,Unprovoked,USA,N,Laceration to left foot,California,"Pismo Beach, San Luis Obispo County",Surfing,Derek Crane,,19.0,4' shark,Male
2010.07.02.a,Afternoon,02-Jul-2010,2010.0,Unprovoked,USA,N,"No injury, board bumped by shark",California,"Dog Patch, San Onofre",Stand-Up Paddleboarding,David Bull,,48.0,8' shark,Male
2010.06.27,Unknown,27-Jun-2010,2010.0,Unprovoked,USA,N,Lacerations to right foot,Texas,"Eight Mile Beach, Galveston",Surfing,Chad Rogers,,20.0,"Bull shark, 5'",Male
2010.06.25.b,Unknown,25-Jun-2010,2010.0,Unprovoked,USA,N,Laceration to leg,South Carolina,Fripp Island,Boogie Boarding,Ella Morris,,6.0,Unknown,Female
2010.06.25.a,Afternoon,25-Jun-2010,2010.0,Unprovoked,USA,N,Laceration to left foot,North Carolina,"Topsail Island, Pender County",Swimming,Carley Schlentz,,13.0,Unknown,Female
2010.06.15,Afternoon,15-Jun-2010,2010.0,Unprovoked,VIETNAM,N,Laceration to left foot,Binh Dinh Province,Quy Nhon,Swimming,Huynh Nhu Hoang,,17.0,1 m shark,
2010.06.10,Afternoon,10-Jun-2010,2010.0,Unprovoked,USA,N,Lacerations to left calf and foot,Florida,Jacksonville,Boogie Boarding,Hannah Mayo-Foster,,18.0,4' shark,Female
2010.06.06,Afternoon,06-Jun-2010,2010.0,Unprovoked,AUSTRALIA,N,Severe laceration to right knee,Western Australia,"Conspicuous Beach, near Walpole",Surfing,Michael Bedford,,40.0,Unknown,Male
2010.06.00,Unknown,Jun-2010,2010.0,Unprovoked,USA,N,Lacerations to left foot,Florida,"Ponte Vedra Beach, St Johns County",Surfing,Matt Searcy,,20.0,Unknown,Male
2010.05.30,Morning,30-May-2010,2010.0,Provoked,USA,N,Laceration to left calf by hooked shark PROVOKED INCIDENT,Florida,Off Tarpon Springs,Fishing,Mike Seymore,,49.0,"Lemon shark, 4'",Male
2010.05.18.c,Evening,18-May-2010,2010.0,Unprovoked,VIETNAM,N,Minor laceration to leg,Binh Dinh Province,Quy Nhon,Rescuing,Nguyen Thi Thu Thao,,58.0,20 to 30kg shark,
2010.05.18.b,Evening,18-May-2010,2010.0,Unprovoked,VIETNAM,N,Severe lacerations to left foot,Binh Dinh Province,Quy Nhon,Swimming,Nguyen Thi Tanh,,60.0,20 to 30kg shark,
2010.05.18.a,Afternoon,18-May-2010,2010.0,Unprovoked,AUSTRALIA,N,Superficial lacerations to lower left leg,New South Wales,Point Plomer,Surfing,Craig Gibson,,24.0,Unknown,Male
2010.05.03,Morning,03-May-2010,2010.0,Unprovoked,MADAGASCAR,N,Lacerations to arm & chest,Antsiranana Province,"Ambatolaoka, Nosy Be Island",Scuba diving,Michel Touzet,,59.0,Unknown,Male
2010.05.01,Morning,01-May-2010,2010.0,Unprovoked,USA,N,Minor puncture wounds to right ankle,Florida,New Smyrna Beach,Wading,Caitlin Dubois,,10.0,4' shark,Female
2010.04.28,Afternoon,28-Apr-2010,2010.0,Provoked,USA,N,Arm bitten PROVOKED INCIDENT,Florida,Hanalei Bay,Measuring sharks,Kirk Gastrich,,29.0,"Lemon shark, 6'",Male
2010.04.19,Afternoon,19-Apr-2010,2010.0,Unprovoked,USA,N,"No injury, surfboard bitten",Hawaii,"Hanalei Bay, Kauai",Surfing,Jim Rawlinson,,68.0,14' shark,Male
2010.04.13,Morning,13-Apr-2010,2010.0,Unprovoked,SOUTH AFRICA,N,Both feet bitten,Eastern Cape Province,"East Beach, Port Alfred",Surfing,Brendan Denton,,35.0,2 m shark,Male
2010.04.04,Afternoon,04-Apr-2010,2010.0,Unprovoked,EGYPT,N,Lacerations to left ankle and foot,Sinai Peninsula,Sharm el-Sheikh,Swimming / treading water,James Elliott,,24.0,"Oceanic whitetip shark, 6'",Male
2010.03.27,Morning,27-Mar-2010,2010.0,Unprovoked,REUNION,N,"No injury, board bitten",Saint-Benoit,Bittern,Surfing,Oliver Schorebreak,,34.0,1.5 m shark,Male
2010.02.19,Evening,190Feb-2010,2010.0,Unprovoked,NEW ZEALAND,N,Bruised but otherwise unhurt,South Island,Tahunanui Beach,Swimming,Paul Baird,,24.0,Possibly a blue shark,Male
2010.02.16,Morning,16-Feb-2010,2010.0,Unprovoked,SOUTH AFRICA,N,Lacerations to right leg,Eastern Cape Province,Yellow Sands Point,Surfing,Michal du Plessis,,24.0,3 m shark,Male
2010.02.15,Morning,15-Feb-2010,2010.0,Unprovoked,FIJI,Y,FATAL,Off Vanua Levu,Nara Reef,Scuba diving,Henry Usimewa,,19.0,Unknown,Male
2010.02.13,Afternoon,13-Feb-2010,2010.0,Unprovoked,AUSTRALIA,N,Lacerations to legs & buttocks,Queensland,"Dent Island, Whitsundays",Snorkeling,Patricia Trumbull,,60.0,2 m shark,Female
2010.02.11,Morning,11-Feb-2010,2010.0,Unprovoked,AUSTRALIA,N,"Minor injury, lacerations to left lower leg",New South Wales,"Mona Vale Beach, Sydney",Surfing,Paul Welsh,,46.0,"Wobbegong shark, 1.6m",Male
2010.02.06.R,Unknown,Reported 06-Feb-2010,2010.0,Provoked,NEW ZEALAND,N,"No injury, shark bit his speargun after he used it to prod the shark PROVOKED INCIDENT",South Island,Cosy Nook,Spearfishing,Aaron Muilwyk,,24.0,2 m to 3 m shark,Male
2010.02.06.b,Afternoon,06-Feb-2010,2010.0,Unprovoked,AUSTRALIA,N,"No injury, shark & board collided",New South Wales,Turners' Beach,Body boarding,Dean Everson,,18.0,"White shark, 2.5m",Male
2010.02.06.a,Afternoon,06-Feb-2010,2010.0,Provoked,USA,N,Leg bitten while trying to free a hooked shark PROVOKED INCIDENT,Florida,Riviera Beach,Surf fishing / wading,male,,24.0,"Spinner shark, 6'",Male
2010.02.04,Morning,04-Feb-2010,2010.0,Invalid,GUAM,Unknown,Shark bites were post-mortem,Merizo,Achang Reef,Spearfishing (free diving),Andrew Duenas,,31.0,Invalid,Male
2010.02.03,Afternoon,03-Feb-2010,2010.0,Unprovoked,USA,Y,FATAL,Florida,"Stuart, Martin County",Kite Boarding,Stephen Howard Schafer,,38.0,Unknown,Male
2010.02.01,Evening,01-Feb-2010,2010.0,Provoked,NEW ZEALAND,N,Stepped on shark PROVOKED INCIDENT,South Island,Oreti Beach,Boogie Boarding,Lydia Ward,,14.0,1.5 m shark,Female
2010.01.30,Unknown,31-Jan-2010,2010.0,Unprovoked,BRAZIL,N,Foot bitten,Rio Grande Do Sul,"Atlantis Beach, near Tramandai",Surfing,Andrei Johann,,29.0,Thought to involve a juvenile hammerhead shark,Male
2010.01.27,Afternoon,27-Jan-2010,2010.0,Unprovoked,AUSTRALIA,N,"No injury, surfboard bitten",Queensland,Archie's Beach,Surfing,Ashley Ramage,,24.0,Unknown,Female
2010.01.22.b,Evening,22-Jan-2010,2010.0,Unprovoked,UNITED ARAB EMIRATES (UAE),N,Laceration to bottom of foot,Dubai,"Umm Suqeim Beach, Dubai",Surfing,Michael Geraghty,,54.0,Unknown,Male
2010.01.22.a,Morning,22-Jan-2010,2010.0,Unprovoked,AUSTRALIA,N,Lacerations to right hand,Victoria,Geelong,Surfing,Dr. Pat Lockie,,24.0,Unknown,
2010.01.12,Afternoon,12-Jan-2010,2010.0,Unprovoked,SOUTH AFRICA,Y,FATAL,Western Province,Fish Hoek,Standing,Lloyd Skinner,,37.0,White shark,Male
2010.01.09.d,Unknown,09-Jan-2010,2010.0,Unprovoked,AUSTRALIA,N,2 sets of minor lacerations below her right knee,Torres Strait,Thursday Island,Snorkeling,Reenie Morrissey,,9.0,"Whitetip reef shark, 1m",
2010.01.09.a,Morning,09-Jan-2010,2010.0,Unprovoked,VIETNAM,N,Left arm bitten twice,Binh Dinh Province,Quy Nhon,Bathing,Nguyen Minh Tuan,,24.0,Unknown,
2010.01.06,Morning,06-Jan-2010,2010.0,Unprovoked,USA,N,Lacerations to arm,Florida,Elliot Key,Spearfishing,Dreice Chirino,,32.0,Unknown,
2010.01.05,Unknown,05-Jan-2010,2010.0,Unprovoked,SOUTH AFRICA,N,"No injury, reportedly knocked of his board by a shark",Eastern Province,"Nahoon, East London",Surfing,male,,24.0,Unknown,Male
2009.12.29,Morning,29-Dec-2009,2009.0,Unprovoked,SOUTH AFRICA,N,Lacerations to left foot,Eastern Cape Province,Port Alfred,Wading,Simon Bruce,,20.0,Unknown,Male
